"filename", "language", "JSON", "TypeScript", "HTML", "JSON with Comments", "JavaScript", "Markdown", "YAML", "SCSS", "Diff", "comment", "blank", "total"
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\ObjectExpression.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 9, 60
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\UnaryOperations\UnaryExpression.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Expressions\UnaryOperations\UpdateExpression.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 8, 49
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Functions\FunctionCall.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 10, 55
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Functions\FunctionDeclaration.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 6, 36
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Functions\ReturnStatement.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 11, 13, 72
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Identifier.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 5, 56
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Literal.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\BlockStatement.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 15, 10, 81
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\Choice\IfStatement.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 10, 66
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\ExpressionStatement.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\Loops\ForStatement.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 29, 20, 123
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\Loops\WhileStatement.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 6, 11, 80
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\Program.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\VariableDeclaration.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\transpiler\Statements\VariableDeclarator.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 8, 48
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\Keyboard.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\Mouse.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\Ticker.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 11, 48
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\action.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 27, 29, 169
